LIBELLE_ARRET,ligne_res
MAIRIE D'IVRY ,METRO 7
OPERA         ,METRO 7
PLACE MONGE   ,METRO 7
POISSONNIERE  ,METRO 7
PONT MARIE    ,METRO 7
PONT-NEUF     ,METRO 7
PORTE D'IVRY  ,METRO 7
PYRAMIDES     ,METRO 7
RIQUET        ,METRO 7
STALINGRAD    ,METRO 7
SULLY-MORLAND ,METRO 7
TOLBIAC       ,METRO 7
PLACE MONGE,METRO 7
PONT MARIE,METRO 7
PONT-NEUF,METRO 7
AUBERVILLIERS-PANTIN (QUATRE CHEMINS),METRO 7
CHAUSSEE D'ANTIN (LA FAYETTE),METRO 7
PIERRE CURIE,METRO 7
BOLIVAR,METRO 7bis
BOTZARIS,METRO 7bis
BUTTES-CHAUMONT,METRO 7bis
DANUBE,METRO 7bis
JAURES,METRO 7bis
LOUIS BLANC,METRO 7bis
PLACE DES FETES,METRO 7bis
PRE SAINT-GERVAIS,METRO 7bis
BOLIVAR       ,METRO 7bis
BOTZARIS      ,METRO 7bis
DANUBE        ,METRO 7bis
JAURES        ,METRO 7bis
LOUIS BLANC   ,METRO 7bis
BALARD,METRO 8
BASTILLE,METRO 8
BONNE NOUVELLE,METRO 8
BOUCICAUT,METRO 8
CHARENTON-ECOLES,METRO 8
CHEMIN VERT,METRO 8
COMMERCE,METRO 8
CONCORDE,METRO 8
CRETEIL-PREFECTURE (HOTEL DE VILLE),METRO 8
CRETEIL-UNIVERSITE,METRO 8
DAUMESNIL,METRO 8
ECOLE MILITAIRE,METRO 8
ECOLE VETERINAIRE DE MAISONS-ALFORT,METRO 8
FAIDHERBE-CHALIGNY,METRO 8
FELIX FAURE,METRO 8
FILLES DU CALVAIRE,METRO 8
GRANDS BOULEVARDS (RUE MONTMARTRE),METRO 8
INVALIDES,METRO 8
LA MOTTE-PICQUET-GRENELLE,METRO 8
LA TOUR MAUBOURG,METRO 8
LEDRU-ROLLIN,METRO 8
LIBERTE,METRO 8
LOURMEL,METRO 8
MADELEINE,METRO 8
MAISONS-ALFORT-LES JUILLIOTTES,METRO 8
MAISONS-ALFORT-STADE,METRO 8
MICHEL BIZOT,METRO 8
MONTGALLET,METRO 8
OPERA,METRO 8
